nominees,details,award_show,year,award,winner,ref_year
More Tales of the City,,Satellite,1999,Best Miniseries or Motion Picture Made for Television,0,22
Thanks of a Grateful Nation,,Satellite,1999,Best Miniseries or Motion Picture Made for Television,0,22
A Bug's Life,"Darla K. Anderson, Kevin Reher",Satellite,1999,"Best Motion Picture, Animated or Mixed Media",1,22
Antz,"Bradford Lewis, Aron Warner, Patty Wooton",Satellite,1999,"Best Motion Picture, Animated or Mixed Media",0,22
Mulan,Pam Coats,Satellite,1999,"Best Motion Picture, Animated or Mixed Media",0,22
The Prince of Egypt,"Penney Finkelman Cox, Sandra Rabins",Satellite,1999,"Best Motion Picture, Animated or Mixed Media",0,22
The Rugrats Movie,"Gabor Csupo, Arlene Klasky",Satellite,1999,"Best Motion Picture, Animated or Mixed Media",0,22
Shakespeare in Love,"Donna Gigliotti, Marc Norman, David Parfitt, Harvey Weinstein, Edward Zwick",Satellite,1999,"Best Motion Picture, Comedy or Musical",1,22
Little Voice,Elizabeth Karlsen,Satellite,1999,"Best Motion Picture, Comedy or Musical",0,22
Pleasantville,"Bob Degus, Jon Kilik, Gary Ross, Steven Soderbergh",Satellite,1999,"Best Motion Picture, Comedy or Musical",0,22
Waking Ned Devine,"Richard Holmes, Glynis Murray",Satellite,1999,"Best Motion Picture, Comedy or Musical",0,22
You've Got Mail,"Lauren Shuler Donner, Nora Ephron",Satellite,1999,"Best Motion Picture, Comedy or Musical",0,22
Ayn Rand: A Sense of Life,Michael Paxton,Satellite,1999,"Best Motion Picture, Documentary",1,22
Kurt & Courtney,Nick Broomfield,Satellite,1999,"Best Motion Picture, Documentary",0,22
Public Housing,Frederick Wiseman,Satellite,1999,"Best Motion Picture, Documentary",0,22
The Cruise,Bennett Miller,Satellite,1999,"Best Motion Picture, Documentary",0,22
"The Farm: Angola, USA","Jonathan Stack, Liz Garbus",Satellite,1999,"Best Motion Picture, Documentary",0,22
The Thin Red Line,"Robert Michael Geisler, Grant Hill, John Roberdeau",Satellite,1999,"Best Motion Picture, Drama",1,22
Elizabeth,"Tim Bevan, Eric Fellner, Alison Owen",Satellite,1999,"Best Motion Picture, Drama",0,22
Gods and Monsters,"Paul Colichman, Gregg Fienberg, Mark R. Harris",Satellite,1999,"Best Motion Picture, Drama",0,22
Saving Private Ryan,"Ian Bryce, Mark Gordon, Gary Levinsohn, Steven Spielberg",Satellite,1999,"Best Motion Picture, Drama",0,22
The General,John Boorman,Satellite,1999,"Best Motion Picture, Drama",0,22
Central Station,Walter Salles,Satellite,1999,"Best Motion Picture, Foreign Language",1,22
La séparation,Christian Vincent,Satellite,1999,"Best Motion Picture, Foreign Language",0,22
Life Is Beautiful,Roberto Benigni,Satellite,1999,"Best Motion Picture, Foreign Language",0,22
Only Clouds Move the Stars,Torun Lian,Satellite,1999,"Best Motion Picture, Foreign Language",0,22
The Celebration,Thomas Vinterberg,Satellite,1999,"Best Motion Picture, Foreign Language",0,22
The Thin Red Line,Hans Zimmer,Satellite,1999,Best Original Score,1,22
Beloved,Rachel Portman,Satellite,1999,Best Original Score,0,22
City of Angels,Gabriel Yared,Satellite,1999,Best Original Score,0,22
Pleasantville,Randy Newman,Satellite,1999,Best Original Score,0,22
Saving Private Ryan,John Williams,Satellite,1999,Best Original Score,0,22
Armageddon,Diane Warren,Satellite,1999,Best Original Song,1,22
Babe: Pig in the City,Randy Newman,Satellite,1999,Best Original Song,0,22
Still Crazy,"Marti Frederiksen (music), Mick Jones (music), Chris Difford (lyrics)",Satellite,1999,Best Original Song,0,22
The Prince of Egypt,Stephen Schwartz,Satellite,1999,Best Original Song,0,22
You've Got Mail,"Carole King, Carole Bayer Sager",Satellite,1999,Best Original Song,0,22
Gods and Monsters,Bill Condon,Satellite,1999,"Best Screenplay, Adapted",1,22
Beloved,"Akosua Busia, Richard LaGravenese, Adam Brooks",Satellite,1999,"Best Screenplay, Adapted",0,22
Hilary and Jackie,Frank Cottrell Boyce,Satellite,1999,"Best Screenplay, Adapted",0,22
Little Voice,Mark Herman,Satellite,1999,"Best Screenplay, Adapted",0,22
The Thin Red Line,Terrence Malick,Satellite,1999,"Best Screenplay, Adapted",0,22
Pleasantville,Gary Ross,Satellite,1999,"Best Screenplay, Original",1,22
American History X,David McKenna,Satellite,1999,"Best Screenplay, Original",0,22
Central Station,"João Emanuel Carneiro, Marcos Bernstein",Satellite,1999,"Best Screenplay, Original",0,22
Saving Private Ryan,Robert Rodat,Satellite,1999,"Best Screenplay, Original",0,22
Shakespeare in Love,"Marc Norman, Tom Stoppard",Satellite,1999,"Best Screenplay, Original",0,22
Ellen,,Satellite,1999,"Best Television Series, Comedy or Musical",1,22
3rd Rock from the Sun,,Satellite,1999,"Best Television Series, Comedy or Musical",0,22
Frasier,,Satellite,1999,"Best Television Series, Comedy or Musical",0,22
Mad About You,,Satellite,1999,"Best Television Series, Comedy or Musical",0,22
Suddenly Susan,,Satellite,1999,"Best Television Series, Comedy or Musical",0,22
Oz,,Satellite,1999,"Best Television Series, Drama",1,22
ER,,Satellite,1999,"Best Television Series, Drama",0,22
NYPD Blue,,Satellite,1999,"Best Television Series, Drama",0,22
The Pretender,,Satellite,1999,"Best Television Series, Drama",0,22
The X-Files,,Satellite,1999,"Best Television Series, Drama",0,22
What Dreams May Come,Ellen Somers,Satellite,1999,Best Visual Effects,1,22
Armageddon,"Richard R. Hoover, Pat McClung",Satellite,1999,Best Visual Effects,0,22
Babe: Pig in the City,,Satellite,1999,Best Visual Effects,0,22
Saving Private Ryan,"Neil Corbould, Stefen Fangmeier, Roger Guyett",Satellite,1999,Best Visual Effects,0,22
Star Trek: Insurrection,Terry D. Frazee,Satellite,1999,Best Visual Effects,0,22
The Thin Red Line,"Jim Caviezel, Sean Penn, Adrien Brody, Nick Nolte, Elias Koteas, Ben Chaplin, Dash Mihok, John Cusack, John C. Reilly, Woody Harrelson, Miranda Otto, Jared Leto, George Clooney, John Travolta, Nick Stahl, John Savage, Tim Blake Nelson, Kirk Acevedo, Thomas Jane, Penelope Allen",Satellite,1999,Outstanding Motion Picture Ensemble,1,22
Gary Sinise,George Wallace,Satellite,1998,Best Actor in a Miniseries or a Motion Picture Made for Television,1,23
Armand Assante,The Odyssey,Satellite,1998,Best Actor in a Miniseries or a Motion Picture Made for Television,0,23
Gabriel Byrne,Weapons of Mass Distraction,Satellite,1998,Best Actor in a Miniseries or a Motion Picture Made for Television,0,23
Sidney Poitier,Mandela and de Klerk,Satellite,1998,Best Actor in a Miniseries or a Motion Picture Made for Television,0,23
Ving Rhames,Don King: Only in America,Satellite,1998,Best Actor in a Miniseries or a Motion Picture Made for Television,0,23
Jack Nicholson,As Good as It Gets,Satellite,1998,"Best Actor in a Motion Picture, Comedy or Musical",1,23
Dustin Hoffman,Wag the Dog,Satellite,1998,"Best Actor in a Motion Picture, Comedy or Musical",0,23
Howard Stern,Private Parts,Satellite,1998,"Best Actor in a Motion Picture, Comedy or Musical",0,23
Kevin Kline,In & Out,Satellite,1998,"Best Actor in a Motion Picture, Comedy or Musical",0,23
Robert Carlyle,The Full Monty,Satellite,1998,"Best Actor in a Motion Picture, Comedy or Musical",0,23
Tommy Lee Jones,Men in Black,Satellite,1998,"Best Actor in a Motion Picture, Comedy or Musical",0,23
Robert Duvall,The Apostle,Satellite,1998,"Best Actor in a Motion Picture, Drama",1,23
Djimon Hounsou,Amistad,Satellite,1998,"Best Actor in a Motion Picture, Drama",0,23
Leonardo DiCaprio,Titanic,Satellite,1998,"Best Actor in a Motion Picture, Drama",0,23
Mark Wahlberg,Boogie Nights,Satellite,1998,"Best Actor in a Motion Picture, Drama",0,23
Matt Damon,Good Will Hunting,Satellite,1998,"Best Actor in a Motion Picture, Drama",0,23
Russell Crowe,L.A. Confidential,Satellite,1998,"Best Actor in a Motion Picture, Drama",0,23
Kelsey Grammer,Frasier,Satellite,1998,"Best Actor in a Series, Comedy or Musical",1,23
Drew Carey,The Drew Carey Show,Satellite,1998,"Best Actor in a Series, Comedy or Musical",0,23
Garry Shandling,The Larry Sanders Show,Satellite,1998,"Best Actor in a Series, Comedy or Musical",0,23
Michael J. Fox,Spin City,Satellite,1998,"Best Actor in a Series, Comedy or Musical",0,23
Tim Allen,Home Improvement,Satellite,1998,"Best Actor in a Series, Comedy or Musical",0,23
Jimmy Smits,NYPD Blue,Satellite,1998,"Best Actor in a Series, Drama",1,23
David Duchovny,The X-Files,Satellite,1998,"Best Actor in a Series, Drama",0,23
Dennis Franz,NYPD Blue,Satellite,1998,"Best Actor in a Series, Drama",0,23
Michael T. Weiss,The Pretender,Satellite,1998,"Best Actor in a Series, Drama",0,23
Sam Waterston,Law & Order,Satellite,1998,"Best Actor in a Series, Drama",0,23
Vondie Curtis-Hall,Don King: Only in America,Satellite,1998,Best Actor in a Supporting Role in a Miniseries or a Motion Picture Made for Television,1,23
Jason Alexander,Cinderella,Satellite,1998,Best Actor in a Supporting Role in a Miniseries or a Motion Picture Made for Television,0,23
Joe Don Baker,George Wallace,Satellite,1998,Best Actor in a Supporting Role in a Miniseries or a Motion Picture Made for Television,0,23
Michael Caine,Mandela and de Klerk,Satellite,1998,Best Actor in a Supporting Role in a Miniseries or a Motion Picture Made for Television,0,23
Ossie Davis,Miss Evers' Boys,Satellite,1998,Best Actor in a Supporting Role in a Miniseries or a Motion Picture Made for Television,0,23
Rupert Everett,My Best Friend's Wedding,Satellite,1998,"Best Actor in a Supporting Role in a Motion Picture, Comedy or Musical",1,23
Cuba Gooding Jr.,As Good as It Gets,Satellite,1998,"Best Actor in a Supporting Role in a Motion Picture, Comedy or Musical",0,23
Greg Kinnear,As Good as It Gets,Satellite,1998,"Best Actor in a Supporting Role in a Motion Picture, Comedy or Musical",0,23
Mark Addy,The Full Monty,Satellite,1998,"Best Actor in a Supporting Role in a Motion Picture, Comedy or Musical",0,23
Rip Torn,Men in Black,Satellite,1998,"Best Actor in a Supporting Role in a Motion Picture, Comedy or Musical",0,23
Burt Reynolds,Boogie Nights,Satellite,1998,"Best Actor in a Supporting Role in a Motion Picture, Drama",1,23
Billy Connolly,Mrs Brown,Satellite,1998,"Best Actor in a Supporting Role in a Motion Picture, Drama",0,23
Danny DeVito,The Rainmaker,Satellite,1998,"Best Actor in a Supporting Role in a Motion Picture, Drama",0,23
Robin Williams,Good Will Hunting,Satellite,1998,"Best Actor in a Supporting Role in a Motion Picture, Drama",0,23
Samuel L. Jackson,Eve's Bayou,Satellite,1998,"Best Actor in a Supporting Role in a Motion Picture, Drama",0,23
Alfre Woodard,Miss Evers' Boys,Satellite,1998,Best Actress in a Miniseries or a Motion Picture Made for Television,1,23
Jennifer Beals,The Twilight of the Golds,Satellite,1998,Best Actress in a Miniseries or a Motion Picture Made for Television,0,23
Glenn Close,In the Gloaming,Satellite,1998,Best Actress in a Miniseries or a Motion Picture Made for Television,0,23
Greta Scacchi,The Odyssey,Satellite,1998,Best Actress in a Miniseries or a Motion Picture Made for Television,0,23
Meryl Streep,...First Do No Harm,Satellite,1998,Best Actress in a Miniseries or a Motion Picture Made for Television,0,23
Helen Hunt,As Good as It Gets,Satellite,1998,"Best Actress in a Motion Picture, Comedy or Musical",1,23
Julia Roberts,My Best Friend's Wedding,Satellite,1998,"Best Actress in a Motion Picture, Comedy or Musical",0,23
Lisa Kudrow,Romy and Michele's High School Reunion,Satellite,1998,"Best Actress in a Motion Picture, Comedy or Musical",0,23
Pam Grier,Jackie Brown,Satellite,1998,"Best Actress in a Motion Picture, Comedy or Musical",0,23
Parker Posey,The House of Yes,Satellite,1998,"Best Actress in a Motion Picture, Comedy or Musical",0,23
Judi Dench,Mrs Brown,Satellite,1998,"Best Actress in a Motion Picture, Drama",1,23
Helena Bonham Carter,The Wings of the Dove,Satellite,1998,"Best Actress in a Motion Picture, Drama",0,23
Joan Allen,The Ice Storm,Satellite,1998,"Best Actress in a Motion Picture, Drama",0,23
Julie Christie,Afterglow,Satellite,1998,"Best Actress in a Motion Picture, Drama",0,23
Kate Winslet,Titanic,Satellite,1998,"Best Actress in a Motion Picture, Drama",0,23
Tracey Ullman,Tracey Takes On...,Satellite,1998,"Best Actress in a Series, Comedy or Musical",1,23
Brooke Shields,Suddenly Susan,Satellite,1998,"Best Actress in a Series, Comedy or Musical",0,23
Ellen DeGeneres,Ellen,Satellite,1998,"Best Actress in a Series, Comedy or Musical",0,23
Helen Hunt,Mad About You,Satellite,1998,"Best Actress in a Series, Comedy or Musical",0,23
Jane Curtin,3rd Rock from the Sun,Satellite,1998,"Best Actress in a Series, Comedy or Musical",0,23
Kate Mulgrew,Star Trek: Voyager,Satellite,1998,"Best Actress in a Series, Drama",1,23
Ally Walker,Profiler,Satellite,1998,"Best Actress in a Series, Drama",0,23
Gillian Anderson,The X-Files,Satellite,1998,"Best Actress in a Series, Drama",0,23
Julianna Margulies,ER,Satellite,1998,"Best Actress in a Series, Drama",0,23
Kim Delaney,NYPD Blue,Satellite,1998,"Best Actress in a Series, Drama",0,23
Ellen Barkin,Before Women Had Wings,Satellite,1998,Best Actress in a Supporting Role in a Miniseries or a Motion Picture Made for Television,1,23
Bernadette Peters,Cinderella,Satellite,1998,Best Actress in a Supporting Role in a Miniseries or a Motion Picture Made for Television,0,23
Louise Fletcher,Breast Men,Satellite,1998,Best Actress in a Supporting Role in a Miniseries or a Motion Picture Made for Television,0,23
Mare Winningham,George Wallace,Satellite,1998,Best Actress in a Supporting Role in a Miniseries or a Motion Picture Made for Television,0,23
Mimi Rogers,Weapons of Mass Distraction,Satellite,1998,Best Actress in a Supporting Role in a Miniseries or a Motion Picture Made for Television,0,23
Joan Cusack,In & Out,Satellite,1998,"Best Actress in a Supporting Role in a Motion Picture, Comedy or Musical",1,23
Anne Heche,Wag the Dog,Satellite,1998,"Best Actress in a Supporting Role in a Motion Picture, Comedy or Musical",0,23
Cameron Diaz,My Best Friend's Wedding,Satellite,1998,"Best Actress in a Supporting Role in a Motion Picture, Comedy or Musical",0,23
Linda Fiorentino,Men in Black,Satellite,1998,"Best Actress in a Supporting Role in a Motion Picture, Comedy or Musical",0,23
Shirley Knight,As Good as It Gets,Satellite,1998,"Best Actress in a Supporting Role in a Motion Picture, Comedy or Musical",0,23
Julianne Moore,Boogie Nights,Satellite,1998,"Best Actress in a Supporting Role in a Motion Picture, Drama",1,23
Ashley Judd,Kiss the Girls,Satellite,1998,"Best Actress in a Supporting Role in a Motion Picture, Drama",0,23
Debbi Morgan,Eve's Bayou,Satellite,1998,"Best Actress in a Supporting Role in a Motion Picture, Drama",0,23
Minnie Driver,Good Will Hunting,Satellite,1998,"Best Actress in a Supporting Role in a Motion Picture, Drama",0,23
Sigourney Weaver,The Ice Storm,Satellite,1998,"Best Actress in a Supporting Role in a Motion Picture, Drama",0,23
Titanic,Peter Lamont,Satellite,1998,Best Art Direction,1,23
Amistad,Rick Carter,Satellite,1998,Best Art Direction,0,23
Gattaca,Jan Roelfs,Satellite,1998,Best Art Direction,0,23
L.A. Confidential,Jeannine Oppewall,Satellite,1998,Best Art Direction,0,23
The Wings of the Dove,John Beard,Satellite,1998,Best Art Direction,0,23
Amistad,Janusz Kaminski,Satellite,1998,Best Cinematography,1,23
Contact,Don Burgess,Satellite,1998,Best Cinematography,0,23
Eve's Bayou,Amy Vincent,Satellite,1998,Best Cinematography,0,23
L.A. Confidential,Dante Spinotti,Satellite,1998,Best Cinematography,0,23
Titanic,Russell Carpenter,Satellite,1998,Best Cinematography,0,23
Titanic,Deborah Lynn Scott,Satellite,1998,Best Costume Design,1,23
Amistad,Ruth E. Carter,Satellite,1998,Best Costume Design,0,23
Beaumarchais the Scoundrel,Sylvie de Segonzac,Satellite,1998,Best Costume Design,0,23
Mrs Brown,Deirdre Clancy,Satellite,1998,Best Costume Design,0,23
The Wings of the Dove,Sandy Powell,Satellite,1998,Best Costume Design,0,23
James Cameron,Titanic,Satellite,1998,Best Director,1,23
Curtis Hanson,L.A. Confidential,Satellite,1998,Best Director,0,23
Gus Van Sant,Good Will Hunting,Satellite,1998,Best Director,0,23
Paul Thomas Anderson,Boogie Nights,Satellite,1998,Best Director,0,23
Steven Spielberg,Amistad,Satellite,1998,Best Director,0,23
Titanic,"Richard A. Harris, Conrad Buff IV",Satellite,1998,Best Film Editing,1,23
Air Force One,Richard Francis-Bruce,Satellite,1998,Best Film Editing,0,23
Amistad,Michael Kahn,Satellite,1998,Best Film Editing,0,23
Boogie Nights,Dylan Tichenor,Satellite,1998,Best Film Editing,0,23
L.A. Confidential,Peter Honess,Satellite,1998,Best Film Editing,0,23
Blade Runner,,Satellite,1998,Best Interactive Product/CD-ROM Entertainment,1,23
Hercules,,Satellite,1998,Best Interactive Product/CD-ROM Entertainment,0,23
Don King: Only in America,,Satellite,1998,Best Miniseries or Motion Picture Made for Television,1,23
Breast Men,,Satellite,1998,Best Miniseries or Motion Picture Made for Television,0,23
